"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","ALLSKY_SFC_SW_DWN","RH2M","T2M","PRECTOTCORR","WS2M","WD2M"
"1",-60.25,-1.25,1981,1,1,1,1981-01-01,NA,88.5,25.32,0.44,0.01,82.94
"2",-60.25,-1.25,1981,1,2,2,1981-01-02,NA,92,25.3,11.3,0.02,90.62
"3",-60.25,-1.25,1981,1,3,3,1981-01-03,NA,93.19,25.08,4.45,0.07,102
"4",-60.25,-1.25,1981,1,4,4,1981-01-04,NA,90.75,25.01,1.8,0.12,109.75
"5",-60.25,-1.25,1981,1,5,5,1981-01-05,NA,90.56,24.76,2.28,0.13,119.19
"6",-60.25,-1.25,1981,1,6,6,1981-01-06,NA,92.62,24.83,12.07,0.08,141.31
"7",-60.25,-1.25,1981,1,7,7,1981-01-07,NA,96.12,23.87,4.76,0.14,97
"8",-60.25,-1.25,1981,1,8,8,1981-01-08,NA,85.44,25.67,2.23,0.19,78.5
"9",-60.25,-1.25,1981,1,9,9,1981-01-09,NA,90.25,24.97,4.61,0.16,266.31
"10",-60.25,-1.25,1981,1,10,10,1981-01-10,NA,93.5,24.35,8.35,0.04,176
"11",-60.25,-1.25,1981,1,11,11,1981-01-11,NA,94.75,24.31,7.94,0.17,99
"12",-60.25,-1.25,1981,1,12,12,1981-01-12,NA,91.94,24.83,1.83,0.19,95.38
"13",-60.25,-1.25,1981,1,13,13,1981-01-13,NA,89.25,25.41,0.2,0.05,103.75
"14",-60.25,-1.25,1981,1,14,14,1981-01-14,NA,89.62,25.58,8.15,0.01,128.25
"15",-60.25,-1.25,1981,1,15,15,1981-01-15,NA,97.5,24.17,22.27,0.05,227.19
"16",-60.25,-1.25,1981,1,16,16,1981-01-16,NA,91.06,24.78,2.73,0.14,88.38
"17",-60.25,-1.25,1981,1,17,17,1981-01-17,NA,89.69,25.15,0.38,0.04,92.5
"18",-60.25,-1.25,1981,1,18,18,1981-01-18,NA,92.12,24.99,3.84,0.01,122.62
"19",-60.25,-1.25,1981,1,19,19,1981-01-19,NA,91.88,24.77,4.37,0.06,95.94
"20",-60.25,-1.25,1981,1,20,20,1981-01-20,NA,92.94,24.94,10.23,0.02,108
"21",-60.25,-1.25,1981,1,21,21,1981-01-21,NA,91.56,25.01,6.64,0.1,143.12
"22",-60.25,-1.25,1981,1,22,22,1981-01-22,NA,96.25,24.37,11.6,0.04,229.06
"23",-60.25,-1.25,1981,1,23,23,1981-01-23,NA,92.62,24.05,6.31,0.06,118.5
"24",-60.25,-1.25,1981,1,24,24,1981-01-24,NA,88,24.78,0.24,0,108.56
"25",-60.25,-1.25,1981,1,25,25,1981-01-25,NA,89.5,24.5,9.71,0.1,84.44
"26",-60.25,-1.25,1981,1,26,26,1981-01-26,NA,89.94,24.96,3.7,0.01,91.62
"27",-60.25,-1.25,1981,1,27,27,1981-01-27,NA,91.19,25.02,8.43,0.01,99.06
"28",-60.25,-1.25,1981,1,28,28,1981-01-28,NA,90.44,25.53,1.52,0.01,113.94
"29",-60.25,-1.25,1981,1,29,29,1981-01-29,NA,96.62,23.72,26.97,0.04,96
"30",-60.25,-1.25,1981,1,30,30,1981-01-30,NA,94.44,23.06,20.69,0.18,123.12
"31",-60.25,-1.25,1981,1,31,31,1981-01-31,NA,92.75,24.27,16.9,0.16,98.12
"32",-60.25,-1.25,1981,2,1,32,1981-02-01,NA,92.62,24.68,13.27,0.02,88.56
"33",-60.25,-1.25,1981,2,2,33,1981-02-02,NA,92.81,24.8,6.81,0.01,98.5
"34",-60.25,-1.25,1981,2,3,34,1981-02-03,NA,97.12,23.87,8.09,0.01,111.19
"35",-60.25,-1.25,1981,2,4,35,1981-02-04,NA,93.31,23.12,2.48,0.01,119.94
"36",-60.25,-1.25,1981,2,5,36,1981-02-05,NA,91.38,23.85,2.33,0.02,93.44
