"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","ALLSKY_SFC_SW_DWN","RH2M","T2M","PRECTOTCORR","WS2M","WD2M"
"1",-39.25,-8,1981,1,1,1,1981-01-01,NA,57.38,26.74,0.02,2.75,65.94
"2",-39.25,-8,1981,1,2,2,1981-01-02,NA,56.88,28.01,0.16,2.21,102.81
"3",-39.25,-8,1981,1,3,3,1981-01-03,NA,55.19,27.72,0.12,3.34,119.5
"4",-39.25,-8,1981,1,4,4,1981-01-04,NA,55.06,27.3,0.15,3.26,118.56
"5",-39.25,-8,1981,1,5,5,1981-01-05,NA,54.06,28.01,0.98,2.76,116.5
"6",-39.25,-8,1981,1,6,6,1981-01-06,NA,62.06,26.9,1.22,2.46,95.12
"7",-39.25,-8,1981,1,7,7,1981-01-07,NA,56.5,27.9,0.23,2.86,112.69
"8",-39.25,-8,1981,1,8,8,1981-01-08,NA,53.94,28.5,0.78,2.4,79.81
"9",-39.25,-8,1981,1,9,9,1981-01-09,NA,62.88,27.37,2.04,2.01,89.62
"10",-39.25,-8,1981,1,10,10,1981-01-10,NA,58.94,28.13,0.47,2.61,70.25
"11",-39.25,-8,1981,1,11,11,1981-01-11,NA,53.31,28.52,0.15,2.62,75.38
"12",-39.25,-8,1981,1,12,12,1981-01-12,NA,50.31,29.22,0.59,2.34,93.62
"13",-39.25,-8,1981,1,13,13,1981-01-13,NA,47.75,29.26,0.48,2.61,100.06
"14",-39.25,-8,1981,1,14,14,1981-01-14,NA,45.75,29.41,0.5,2.29,108.5
"15",-39.25,-8,1981,1,15,15,1981-01-15,NA,47.44,29.97,0.47,2.21,90.88
"16",-39.25,-8,1981,1,16,16,1981-01-16,NA,45.94,29.95,0.59,2.46,95.06
"17",-39.25,-8,1981,1,17,17,1981-01-17,NA,42.81,29.19,0.25,2.32,106.94
"18",-39.25,-8,1981,1,18,18,1981-01-18,NA,56.38,27.3,11.93,2.25,91.81
"19",-39.25,-8,1981,1,19,19,1981-01-19,NA,66.56,26.15,2.43,1.95,98.62
"20",-39.25,-8,1981,1,20,20,1981-01-20,NA,79.19,24.21,8.18,1.61,168.44
"21",-39.25,-8,1981,1,21,21,1981-01-21,NA,77.12,24.27,5.38,2.14,118.81
"22",-39.25,-8,1981,1,22,22,1981-01-22,NA,69.31,25.88,1.06,2.33,45.12
"23",-39.25,-8,1981,1,23,23,1981-01-23,NA,64.25,27.37,0.39,1.77,67.06
"24",-39.25,-8,1981,1,24,24,1981-01-24,NA,56.75,27.48,0.93,3.07,119.25
"25",-39.25,-8,1981,1,25,25,1981-01-25,NA,59.5,27.61,0.8,3.09,125.75
"26",-39.25,-8,1981,1,26,26,1981-01-26,NA,65.38,26.92,1.34,2.28,112.19
"27",-39.25,-8,1981,1,27,27,1981-01-27,NA,75.38,24.32,2.98,2.38,95
"28",-39.25,-8,1981,1,28,28,1981-01-28,NA,67.88,26.36,3.7,2.77,99.31
"29",-39.25,-8,1981,1,29,29,1981-01-29,NA,69.25,26.43,3.9,2.26,108.56
"30",-39.25,-8,1981,1,30,30,1981-01-30,NA,78,24.13,2.89,1.83,85.81
"31",-39.25,-8,1981,1,31,31,1981-01-31,NA,68.31,26.1,2.25,1.8,78.25
"32",-39.25,-8,1981,2,1,32,1981-02-01,NA,59.19,26.95,0.32,2.76,95.38
"33",-39.25,-8,1981,2,2,33,1981-02-02,NA,56.31,27.11,0.06,3.16,125.5
"34",-39.25,-8,1981,2,3,34,1981-02-03,NA,58.69,26.45,0.06,2.84,124.12
"35",-39.25,-8,1981,2,4,35,1981-02-04,NA,55.81,26.5,0.13,2.35,126.19
"36",-39.25,-8,1981,2,5,36,1981-02-05,NA,63.88,26.01,1.4,2.26,91.38
"37",-39.25,-8,1981,2,6,37,1981-02-06,NA,67.75,26.06,3.67,2.52,76.12
"38",-39.25,-8,1981,2,7,38,1981-02-07,NA,68.62,25.86,3.97,2.19,84.5
"39",-39.25,-8,1981,2,8,39,1981-02-08,NA,56.38,27.65,0.52,3.06,85.75
"40",-39.25,-8,1981,2,9,40,1981-02-09,NA,56.75,27.68,0.63,2.78,99.56
"41",-39.25,-8,1981,2,10,41,1981-02-10,NA,50.12,28.37,0.03,2.65,111.19
"42",-39.25,-8,1981,2,11,42,1981-02-11,NA,47.62,28.9,0.12,3.02,110
"43",-39.25,-8,1981,2,12,43,1981-02-12,NA,49.62,28.52,1,2.87,110
"44",-39.25,-8,1981,2,13,44,1981-02-13,NA,52.19,27.88,0.21,3.12,128.88
"45",-39.25,-8,1981,2,14,45,1981-02-14,NA,54.19,27.65,0,3.55,129.12
"46",-39.25,-8,1981,2,15,46,1981-02-15,NA,50.25,28.19,0.03,3.55,125.56
"47",-39.25,-8,1981,2,16,47,1981-02-16,NA,49.75,28.89,0.01,3.64,120.62
"48",-39.25,-8,1981,2,17,48,1981-02-17,NA,54.31,28.12,0.17,4.4,127.94
"49",-39.25,-8,1981,2,18,49,1981-02-18,NA,52,28.44,0.15,4.61,128.19
"50",-39.25,-8,1981,2,19,50,1981-02-19,NA,45.75,27.79,0.12,3.67,129.19
"51",-39.25,-8,1981,2,20,51,1981-02-20,NA,41.69,28.56,0,2.88,124.06
"52",-39.25,-8,1981,2,21,52,1981-02-21,NA,49.06,29.13,0,4.26,118.81
"53",-39.25,-8,1981,2,22,53,1981-02-22,NA,44.38,29.57,0,4.41,120.12
