"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","ALLSKY_SFC_SW_DWN","RH2M","T2M","PRECTOTCORR","WS2M","WD2M"
"1",-39.5,-7.5,1981,1,1,1,1981-01-01,NA,66.19,23.58,0.01,0.94,43
"2",-39.5,-7.5,1981,1,2,2,1981-01-02,NA,61.06,25.75,0.13,0.72,94.75
"3",-39.5,-7.5,1981,1,3,3,1981-01-03,NA,56.38,25.83,0.15,1.01,113.06
"4",-39.5,-7.5,1981,1,4,4,1981-01-04,NA,54.62,25.52,0.09,0.97,118.44
"5",-39.5,-7.5,1981,1,5,5,1981-01-05,NA,58,25.99,1.86,0.86,104.06
"6",-39.5,-7.5,1981,1,6,6,1981-01-06,NA,70.12,24.25,2.95,0.87,92.75
"7",-39.5,-7.5,1981,1,7,7,1981-01-07,NA,65.19,24.9,1.23,0.84,109.69
"8",-39.5,-7.5,1981,1,8,8,1981-01-08,NA,61.94,25.48,1.31,0.85,74.81
"9",-39.5,-7.5,1981,1,9,9,1981-01-09,NA,67.44,24.9,2.22,0.85,79.31
"10",-39.5,-7.5,1981,1,10,10,1981-01-10,NA,65.25,25.33,0.55,0.98,64.06
"11",-39.5,-7.5,1981,1,11,11,1981-01-11,NA,61.06,25.51,0.18,0.92,65.5
"12",-39.5,-7.5,1981,1,12,12,1981-01-12,NA,57.44,26.27,1.49,0.85,82.31
"13",-39.5,-7.5,1981,1,13,13,1981-01-13,NA,58.12,26,0.97,0.87,82
"14",-39.5,-7.5,1981,1,14,14,1981-01-14,NA,55.56,26.45,0.75,0.77,87.44
"15",-39.5,-7.5,1981,1,15,15,1981-01-15,NA,59.69,26.51,1.04,0.81,71.62
"16",-39.5,-7.5,1981,1,16,16,1981-01-16,NA,58.12,26.34,0.71,0.95,70.44
"17",-39.5,-7.5,1981,1,17,17,1981-01-17,NA,53,26.08,0.24,0.79,80.06
"18",-39.5,-7.5,1981,1,18,18,1981-01-18,NA,61.94,24.35,10.87,0.79,76.38
"19",-39.5,-7.5,1981,1,19,19,1981-01-19,NA,71,23.89,2.14,0.66,87.69
"20",-39.5,-7.5,1981,1,20,20,1981-01-20,NA,80.94,22.76,3.89,0.52,147.62
"21",-39.5,-7.5,1981,1,21,21,1981-01-21,NA,87.75,21.51,3.79,0.66,124.69
"22",-39.5,-7.5,1981,1,22,22,1981-01-22,NA,78.69,22.65,0.28,0.77,42.19
"23",-39.5,-7.5,1981,1,23,23,1981-01-23,NA,68.12,24.69,0.73,0.68,56.81
"24",-39.5,-7.5,1981,1,24,24,1981-01-24,NA,56.31,25.87,1.01,0.9,119.5
"25",-39.5,-7.5,1981,1,25,25,1981-01-25,NA,59.38,25.98,1.17,0.9,128.38
"26",-39.5,-7.5,1981,1,26,26,1981-01-26,NA,71.81,24.25,7.19,0.65,124.06
"27",-39.5,-7.5,1981,1,27,27,1981-01-27,NA,82,22.17,8.77,0.7,69.69
"28",-39.5,-7.5,1981,1,28,28,1981-01-28,NA,74.88,23.64,4.02,0.88,91.88
"29",-39.5,-7.5,1981,1,29,29,1981-01-29,NA,75.75,24.1,4.05,0.8,90
"30",-39.5,-7.5,1981,1,30,30,1981-01-30,NA,86.06,21.37,5.01,0.56,77.62
"31",-39.5,-7.5,1981,1,31,31,1981-01-31,NA,74.75,23.3,1.89,0.63,72
"32",-39.5,-7.5,1981,2,1,32,1981-02-01,NA,64.12,24.73,0.21,0.82,89
"33",-39.5,-7.5,1981,2,2,33,1981-02-02,NA,59.38,25.37,0.18,0.88,123.69
"34",-39.5,-7.5,1981,2,3,34,1981-02-03,NA,59.38,24.87,0.26,0.83,130.19
"35",-39.5,-7.5,1981,2,4,35,1981-02-04,NA,59.5,24.75,0.33,0.68,136.25
"36",-39.5,-7.5,1981,2,5,36,1981-02-05,NA,76.12,23.08,5.12,0.77,98.12
"37",-39.5,-7.5,1981,2,6,37,1981-02-06,NA,79.62,22.79,8.75,0.68,67.19
"38",-39.5,-7.5,1981,2,7,38,1981-02-07,NA,77.56,23,6.16,0.8,80.25
"39",-39.5,-7.5,1981,2,8,39,1981-02-08,NA,64.69,24.51,0.39,1.02,85.5
"40",-39.5,-7.5,1981,2,9,40,1981-02-09,NA,62.38,25.17,0.15,0.91,93.75
"41",-39.5,-7.5,1981,2,10,41,1981-02-10,NA,57,25.76,0,0.74,100.75
"42",-39.5,-7.5,1981,2,11,42,1981-02-11,NA,54.06,26.07,0.09,0.91,97.88
"43",-39.5,-7.5,1981,2,12,43,1981-02-12,NA,56.81,25.67,0.17,0.84,97.12
"44",-39.5,-7.5,1981,2,13,44,1981-02-13,NA,60.81,25.38,0.07,0.81,118.38
"45",-39.5,-7.5,1981,2,14,45,1981-02-14,NA,55.88,25.62,0.05,0.8,128.69
"46",-39.5,-7.5,1981,2,15,46,1981-02-15,NA,59.75,25.49,0.07,0.99,122
"47",-39.5,-7.5,1981,2,16,47,1981-02-16,NA,54.81,26.02,0.04,1.01,108.94
"48",-39.5,-7.5,1981,2,17,48,1981-02-17,NA,64,25.02,0.8,1.18,129.56
"49",-39.5,-7.5,1981,2,18,49,1981-02-18,NA,58.69,25.95,0.06,1.36,129.88
"50",-39.5,-7.5,1981,2,19,50,1981-02-19,NA,50,25.74,0.05,1.15,133
"51",-39.5,-7.5,1981,2,20,51,1981-02-20,NA,47.19,26.62,0.01,0.79,111.75
"52",-39.5,-7.5,1981,2,21,52,1981-02-21,NA,56.31,26.42,0,1.28,114.38
"53",-39.5,-7.5,1981,2,22,53,1981-02-22,NA,48.44,27.09,0,1.28,114.75
"54",-39.5,-7.5,1981,2,23,54,1981-02-23,NA,49.25,26.61,0.74,1.19,121.38
"55",-39.5,-7.5,1981,2,24,55,1981-02-24,NA,50.62,26.37,0.33,1.25,130.62
"56",-39.5,-7.5,1981,2,25,56,1981-02-25,NA,49.88,27.08,0,1.19,121.12
"57",-39.5,-7.5,1981,2,26,57,1981-02-26,NA,48.31,27.65,0,1.1,101.88
"58",-39.5,-7.5,1981,2,27,58,1981-02-27,NA,49.38,27.85,0,1.21,102.25
"59",-39.5,-7.5,1981,2,28,59,1981-02-28,NA,47.88,28.44,0,1.19,96.31
"60",-39.5,-7.5,1981,3,1,60,1981-03-01,NA,43.38,28.24,0.01,0.92,96.5
"61",-39.5,-7.5,1981,3,2,61,1981-03-02,NA,41.06,27.12,0,0.77,120.62
"62",-39.5,-7.5,1981,3,3,62,1981-03-03,NA,44.38,27.42,0.01,0.68,107.88
"63",-39.5,-7.5,1981,3,4,63,1981-03-04,NA,46,26.41,0.07,0.62,64.31
"64",-39.5,-7.5,1981,3,5,64,1981-03-05,NA,53.75,27.15,0.28,0.73,51
"65",-39.5,-7.5,1981,3,6,65,1981-03-06,NA,54.12,27.66,0.78,0.76,75.44
"66",-39.5,-7.5,1981,3,7,66,1981-03-07,NA,51.75,28.19,0.19,0.88,67.38
"67",-39.5,-7.5,1981,3,8,67,1981-03-08,NA,50.62,28.35,0.67,1.09,54.69
"68",-39.5,-7.5,1981,3,9,68,1981-03-09,NA,47.56,27.86,0.03,0.84,32.5
"69",-39.5,-7.5,1981,3,10,69,1981-03-10,NA,55.19,28.37,0.11,1.02,25.81
"70",-39.5,-7.5,1981,3,11,70,1981-03-11,NA,69.25,25,2,0.89,142.94
"71",-39.5,-7.5,1981,3,12,71,1981-03-12,NA,81.5,23.23,2.88,0.76,112.56
"72",-39.5,-7.5,1981,3,13,72,1981-03-13,NA,83.75,22.62,14.82,0.95,288
"73",-39.5,-7.5,1981,3,14,73,1981-03-14,NA,89.62,22.27,35.75,0.66,306.12
"74",-39.5,-7.5,1981,3,15,74,1981-03-15,NA,91.5,21.62,26.67,0.46,257.81
"75",-39.5,-7.5,1981,3,16,75,1981-03-16,NA,93.62,21.29,31.54,0.7,209.06
"76",-39.5,-7.5,1981,3,17,76,1981-03-17,NA,91.06,22.49,10.79,0.87,33.94
"77",-39.5,-7.5,1981,3,18,77,1981-03-18,NA,92,21.06,12.93,0.7,53.69
"78",-39.5,-7.5,1981,3,19,78,1981-03-19,NA,89.88,22.02,16.77,0.57,54.75
"79",-39.5,-7.5,1981,3,20,79,1981-03-20,NA,93.06,20.18,9.91,0.65,42.75
"80",-39.5,-7.5,1981,3,21,80,1981-03-21,NA,88.44,22.29,15.3,0.77,24.5
"81",-39.5,-7.5,1981,3,22,81,1981-03-22,NA,90.19,21.76,18.74,0.77,142.44
