FID;longitude;latitude;Biome
1;-46.5;-23.5;MAT
2;-46.5;-23.25;MAT
3;-46.25;-23.5;MAT
4;-46.25;-23.25;MAT
5;-46.25;-23;MAT
6;-46;-23.5;MAT
7;-46;-23.25;MAT
8;-46;-23;MAT
9;-46;-22.75;MAT
10;-45.75;-23.5;MAT
11;-45.75;-23.25;MAT
12;-45.75;-23;MAT
13;-45.75;-22.75;MAT
14;-45.5;-23.5;MAT
15;-45.5;-23.25;MAT
16;-45.5;-23;MAT
17;-45.5;-22.75;MAT
18;-45.5;-22.5;MAT
19;-45.25;-23.5;MAT
20;-45.25;-23.25;MAT
21;-45.25;-23;MAT
22;-45.25;-22.75;MAT
23;-45.25;-22.5;MAT
24;-45;-23.25;MAT
25;-45;-23;MAT
26;-45;-22.75;MAT
27;-45;-22.5;MAT
28;-44.75;-23;MAT
29;-44.75;-22.75;MAT
30;-44.75;-22.5;MAT
31;-49.75;-18.5;CER
32;-49.75;-18.25;CER
33;-49.75;-18;CER
34;-49.75;-17.75;CER
35;-49.75;-17.5;CER
36;-49.75;-17.25;CER
37;-49.75;-17;CER
38;-49.75;-16.75;CER
39;-49.75;-16.5;CER
40;-49.75;-16.25;CER
41;-49.75;-16;CER
42;-49.5;-18.5;CER
43;-49.5;-18.25;CER
44;-49.5;-18;CER
45;-49.5;-17.75;CER
46;-49.5;-17.5;CER
47;-49.5;-17.25;CER
48;-49.5;-17;CER
49;-49.5;-16.75;CER
50;-49.5;-16.5;CER
51;-49.5;-16.25;CER
52;-49.5;-16;CER
53;-49.25;-18.5;CER
54;-49.25;-18.25;CER
55;-49.25;-18;CER
56;-49.25;-17.75;CER
57;-49.25;-17.5;CER
58;-49.25;-17.25;CER
59;-49.25;-17;CER
60;-49.25;-16.75;CER
61;-49.25;-16.5;CER
62;-49.25;-16.25;CER
63;-49.25;-16;CER
64;-49;-18.5;CER
65;-49;-18.25;CER
66;-49;-18;CER
67;-49;-17.75;CER
68;-49;-17.5;CER
69;-49;-17.25;CER
70;-49;-17;CER
71;-49;-16.75;CER
72;-49;-16.5;CER
73;-49;-16.25;CER
74;-49;-16;CER
75;-48.75;-16.75;CER
76;-48.75;-16.5;CER
77;-48.75;-16.25;CER
78;-40.75;-8.5;CAA
79;-40.75;-8.25;CAA
80;-40.75;-8;CAA
81;-40.75;-7.75;CAA
82;-40.75;-7.5;CAA
83;-40.75;-7.25;CAA
84;-40.5;-8.5;CAA
85;-40.5;-8.25;CAA
86;-40.5;-8;CAA
87;-40.5;-7.75;CAA
88;-40.5;-7.5;CAA
89;-40.25;-8.5;CAA
90;-40.25;-8.25;CAA
91;-40.25;-8;CAA
92;-40.25;-7.75;CAA
93;-40.25;-7.5;CAA
94;-40.25;-7.25;CAA
95;-40;-8.5;CAA
96;-40;-8.25;CAA
97;-40;-7.75;CAA
98;-40;-7.5;CAA
99;-40;-7.25;CAA
100;-39.75;-8.5;CAA
101;-39.75;-8;CAA
102;-39.75;-7.75;CAA
103;-39.75;-7.5;CAA
104;-39.75;-7.25;CAA
105;-39.5;-8.5;CAA
106;-39.5;-8.25;CAA
107;-39.5;-8;CAA
108;-39.5;-7.75;CAA
109;-39.5;-7.5;CAA
110;-39.5;-7.25;CAA
111;-39.25;-8.5;CAA
112;-39.25;-8.25;CAA
113;-39.25;-8;CAA
114;-39.25;-7.75;CAA
115;-39.25;-7.5;CAA
116;-39.25;-7.25;CAA
117;-61.25;-2.75;AMZ
118;-61.25;-2.5;AMZ
119;-61.25;-2.25;AMZ
120;-61.25;-2;AMZ
121;-61.25;-1.75;AMZ
122;-61.25;-1.5;AMZ
123;-61.25;-1.25;AMZ
124;-61;-2.75;AMZ
125;-61;-2.5;AMZ
126;-61;-2.25;AMZ
127;-61;-2;AMZ
128;-61;-1.75;AMZ
129;-61;-1.5;AMZ
130;-61;-1.25;AMZ
131;-60.75;-2.75;AMZ
132;-60.75;-2.5;AMZ
133;-60.75;-2.25;AMZ
134;-60.75;-2;AMZ
135;-60.75;-1.75;AMZ
136;-60.75;-1.5;AMZ
137;-60.75;-1.25;AMZ
138;-60.5;-2.75;AMZ
139;-60.5;-2.5;AMZ
140;-60.5;-2.25;AMZ
141;-60.5;-2;AMZ
142;-60.5;-1.75;AMZ
143;-60.5;-1.5;AMZ
144;-60.5;-1.25;AMZ
145;-60.25;-2.75;AMZ
146;-60.25;-2.5;AMZ
147;-60.25;-2.25;AMZ
148;-60.25;-2;AMZ
149;-60.25;-1.75;AMZ
150;-60.25;-1.5;AMZ
151;-60.25;-1.25;AMZ
152;-60;-2.75;AMZ
153;-60;-2.5;AMZ
154;-60;-2.25;AMZ
155;-60;-2;AMZ
156;-60;-1.75;AMZ
157;-60;-1.5;AMZ
158;-60;-1.25;AMZ
