"","lon","lat","year","month","prec","temp","etp"
"1",-46.5,-23.5,1981,1,248.57,22.231935483871,106.048764314506
"2",-46.5,-23.5,1981,2,111.22,22.8189285714286,101.649423384969
"3",-46.5,-23.5,1981,3,177.47,21.3048387096774,93.6512492964134
"4",-46.5,-23.5,1981,4,120.09,18.9776666666667,67.5079741095116
"5",-46.5,-23.5,1981,5,44.33,18.3616129032258,61.5949216185226
"6",-46.5,-23.5,1981,6,75.46,15.387,39.8161232072212
"7",-46.5,-23.5,1981,7,80.79,13.9364516129032,33.3512114749106
"8",-46.5,-23.5,1981,8,48.11,16.5983870967742,49.1249847033589
"9",-46.5,-23.5,1981,9,44.97,19.7296666666667,71.4348275605326
"10",-46.5,-23.5,1981,10,212,18.5703225806452,69.1879775967796
"11",-46.5,-23.5,1981,11,171.05,21.3403333333333,93.7642159385754
"12",-46.5,-23.5,1981,12,200.68,21.2183870967742,99.1180140399774
"13",-46.5,-23.5,1982,1,285.34,20.5938709677419,90.8524178379101
"14",-46.5,-23.5,1982,2,242.92,22.5878571428571,99.6361929711623
"15",-46.5,-23.5,1982,3,199.1,20.6403225806452,87.9014196109707
"16",-46.5,-23.5,1982,4,100.19,17.8023333333333,59.3794129734758
"17",-46.5,-23.5,1982,5,56.24,16.6167741935484,50.3747171417217
"18",-46.5,-23.5,1982,6,177.7,17.7663333333333,53.4577704006159
"19",-46.5,-23.5,1982,7,54.75,16.6790322580645,48.1843964924916
"20",-46.5,-23.5,1982,8,82.94,18.1267741935484,58.8793365462949
"21",-46.5,-23.5,1982,9,62.39,17.8163333333333,58.1464053889297
"22",-46.5,-23.5,1982,10,208.51,19.5274193548387,76.7511387650034
"23",-46.5,-23.5,1982,11,196.67,21.847,98.4389608408382
"24",-46.5,-23.5,1982,12,299.79,20.6593548387097,93.9816918368837
"25",-46.5,-23.5,1983,1,285.9,22.2616129032258,106.348683765684
"26",-46.5,-23.5,1983,2,299.98,22.5117857142857,98.8931434352914
"27",-46.5,-23.5,1983,3,269.35,21.0258064516129,91.1842230474667
"28",-46.5,-23.5,1983,4,251.37,19.627,72.3080267427751
"29",-46.5,-23.5,1983,5,237.23,18.9629032258064,65.78544801033
"30",-46.5,-23.5,1983,6,221.34,16.0986666666667,43.6694888947691
"31",-46.5,-23.5,1983,7,55.21,16.6467741935484,47.9044992424786
"32",-46.5,-23.5,1983,8,34.36,16.2958064516129,47.3338274115768
"33",-46.5,-23.5,1983,9,275.79,16.6946666666667,50.8562803326251
"34",-46.5,-23.5,1983,10,193.22,18.5529032258064,69.0717260166637
"35",-46.5,-23.5,1983,11,120.98,20.69,88.0521431455062
"36",-46.5,-23.5,1983,12,247.48,21.3870967741935,100.742757630981
"37",-46.5,-23.5,1984,1,240.63,23.2838709677419,115.176860193538
"38",-46.5,-23.5,1984,2,58.21,23.7668965517241,109.385128276328
"39",-46.5,-23.5,1984,3,137.01,21.2183870967742,90.9727204645699
"40",-46.5,-23.5,1984,4,131.48,19.5183333333333,69.4386962281186
"41",-46.5,-23.5,1984,5,74.36,19.7458064516129,69.4567034765839
"42",-46.5,-23.5,1984,6,8.17,17.819,51.6783489425293
"43",-46.5,-23.5,1984,7,46.69,17.0293548387097,48.0715189078636
"44",-46.5,-23.5,1984,8,137.1,16.1196774193548,44.1184016455314
"45",-46.5,-23.5,1984,9,139.67,17.078,51.0459636631986
"46",-46.5,-23.5,1984,10,50.75,20.6267741935484,83.6903080028954
"47",-46.5,-23.5,1984,11,118.64,21.0866666666667,89.5755000493999
"48",-46.5,-23.5,1984,12,199.54,20.9551612903226,94.5304497402599
"49",-46.5,-23.5,1985,1,270.25,20.7335483870968,91.5813633507867
"50",-46.5,-23.5,1985,2,266.66,22.7667857142857,100.89797038279
"51",-46.5,-23.5,1985,3,190.76,22.1787096774194,101.305822876329
"52",-46.5,-23.5,1985,4,157.29,20.7126666666667,80.2971501451027
"53",-46.5,-23.5,1985,5,73.1,17.4270967741935,54.9375597441358
"54",-46.5,-23.5,1985,6,47.42,14.6646666666667,35.6926856634129
"55",-46.5,-23.5,1985,7,9.78,14.6374193548387,36.4353505335517
"56",-46.5,-23.5,1985,8,37.97,17.8674193548387,56.6463998005612
"57",-46.5,-23.5,1985,9,104.16,17.813,57.5767440681255
"58",-46.5,-23.5,1985,10,51.71,20.2435483870968,82.0556807968507
"59",-46.5,-23.5,1985,11,133.86,21.0246666666667,90.5688710162764
"60",-46.5,-23.5,1985,12,144.47,21.9361290322581,105.69394864916
"61",-46.5,-23.5,1986,1,168.52,23.6364516129032,119.404985257726
"62",-46.5,-23.5,1986,2,290.2,22.4592857142857,97.5174912286118
"63",-46.5,-23.5,1986,3,321.84,21.8777419354839,97.7960426056049
"64",-46.5,-23.5,1986,4,129.8,20.7023333333333,79.4658340811221
"65",-46.5,-23.5,1986,5,131.76,18.9741935483871,64.5974634284509
"66",-46.5,-23.5,1986,6,28.79,15.8886666666667,41.2551845113336
"67",-46.5,-23.5,1986,7,114.77,15.2006451612903,38.5293694091821
"68",-46.5,-23.5,1986,8,107.4,17.41,52.836777776289
"69",-46.5,-23.5,1986,9,78.86,17.4006666666667,53.9816782121403
"70",-46.5,-23.5,1986,10,87.63,18.8232258064516,69.732735608797
"71",-46.5,-23.5,1986,11,211.06,21.4586666666667,93.7064626930588
"72",-46.5,-23.5,1986,12,393.75,21.3058064516129,98.7292025717964
"73",-46.5,-23.5,1987,1,383.06,22.8322580645161,112.118098037219
"74",-46.5,-23.5,1987,2,172.78,21.9114285714286,93.7592857910209
"75",-46.5,-23.5,1987,3,148.41,20.7209677419355,88.7121990836124
"76",-46.5,-23.5,1987,4,164.52,20.7836666666667,81.4258248233588
"77",-46.5,-23.5,1987,5,237.4,17.0783870967742,53.3804517170837
"78",-46.5,-23.5,1987,6,174.5,14.8966666666667,37.4909916730915
"79",-46.5,-23.5,1987,7,32.48,17.141935483871,51.0557644308673
"80",-46.5,-23.5,1987,8,32.63,15.7125806451613,44.1647525103282
"81",-46.5,-23.5,1987,9,98.43,17.004,53.0109586514821
"82",-46.5,-23.5,1987,10,121.59,19.2758064516129,74.879160178877
"83",-46.5,-23.5,1987,11,92.45,20.4846666666667,86.4856910508862
"84",-46.5,-23.5,1987,12,169.05,21.9354838709677,106.250251015917
"85",-46.5,-23.5,1988,1,321.59,23.711935483871,121.59519926594
"86",-46.5,-23.5,1988,2,367.32,21.2637931034483,89.0728627835339
"87",-46.5,-23.5,1988,3,177.14,21.3935483870968,95.519908188313
"88",-46.5,-23.5,1988,4,212.44,19.8563333333333,75.176208295736
"89",-46.5,-23.5,1988,5,212.52,17.5083870967742,57.1759216056409
"90",-46.5,-23.5,1988,6,72.48,14.2813333333333,35.3817776366648
"91",-46.5,-23.5,1988,7,26.39,12.9370967741935,29.8098303144633
"92",-46.5,-23.5,1988,8,9.34,16.2041935483871,48.0461876290438
"93",-46.5,-23.5,1988,9,75.66,18.5573333333333,64.2808544669676
"94",-46.5,-23.5,1988,10,180.46,18.6693548387097,71.2731549845396
"95",-46.5,-23.5,1988,11,86.88,19.5243333333333,79.5259495744632
"96",-46.5,-23.5,1988,12,250.49,21.7822580645161,105.636853230381
"97",-46.5,-23.5,1989,1,282.88,22.2161290322581,107.551506857545
"98",-46.5,-23.5,1989,2,316.2,22.2107142857143,97.7162485813258
"99",-46.5,-23.5,1989,3,209.24,21.6396774193548,98.4256785421126
"100",-46.5,-23.5,1989,4,138.89,20.2473333333333,78.9079392572208
"101",-46.5,-23.5,1989,5,96.84,16.5683870967742,52.1570232621163
"102",-46.5,-23.5,1989,6,89.96,15.453,42.199345505922
"103",-46.5,-23.5,1989,7,192.48,14.0722580645161,36.0532512294129
"104",-46.5,-23.5,1989,8,47.9,15.7564516129032,46.3390506703982
"105",-46.5,-23.5,1989,9,114.27,17.1273333333333,55.7350950288907
"106",-46.5,-23.5,1989,10,79.04,16.9903225806452,60.1202310253422
"107",-46.5,-23.5,1989,11,111.13,19.5946666666667,80.9856931950471
"108",-46.5,-23.5,1989,12,167.22,20.9661290322581,98.7792579808951
"109",-46.5,-23.5,1990,1,259.88,23.0251612903226,113.373929787897
"110",-46.5,-23.5,1990,2,144.09,22.5046428571429,98.2871520705862
"111",-46.5,-23.5,1990,3,248.38,22.5212903225806,104.298491577306
"112",-46.5,-23.5,1990,4,147.97,21.661,87.7723430144734
"113",-46.5,-23.5,1990,5,77.65,16.9261290322581,51.3822564116144
"114",-46.5,-23.5,1990,6,42.81,15.426,39.2743127846689
"115",-46.5,-23.5,1990,7,139.94,14.4754838709677,35.277183102608
"116",-46.5,-23.5,1990,8,64.2,15.2558064516129,40.5846704250831
"117",-46.5,-23.5,1990,9,110.43,16.4133333333333,48.3012420441645
"118",-46.5,-23.5,1990,10,114.99,20.4970967741935,83.854986406836
"119",-46.5,-23.5,1990,11,108.14,22.226,101.264025704562
"120",-46.5,-23.5,1990,12,129.77,21.7845161290323,103.893176755205
"121",-46.5,-23.5,1991,1,306.9,21.6316129032258,100.652656231052
"122",-46.5,-23.5,1991,2,239.26,21.6732142857143,91.8469605126928
"123",-46.5,-23.5,1991,3,429.56,21.131935483871,92.4737164712048
"124",-46.5,-23.5,1991,4,154.81,19.4833333333333,71.6082039664122
"125",-46.5,-23.5,1991,5,61.24,17.4587096774194,55.9998762094382
"126",-46.5,-23.5,1991,6,93.62,16.7766666666667,47.8694843194002
"127",-46.5,-23.5,1991,7,37.83,15.2096774193548,40.247408180041
"128",-46.5,-23.5,1991,8,41.8,16.5196774193548,49.0644273979243
"129",-46.5,-23.5,1991,9,116.38,16.721,51.4255924446875
"130",-46.5,-23.5,1991,10,154.41,19.3651612903226,75.7692962620248
"131",-46.5,-23.5,1991,11,77.83,20.8383333333333,89.7035913426119
"132",-46.5,-23.5,1991,12,172.41,22.4835483870968,111.835650947927
"133",-46.5,-23.5,1992,1,188.17,22.1438709677419,105.342420369279
"134",-46.5,-23.5,1992,2,128.45,22.5513793103448,99.3613851611727
"135",-46.5,-23.5,1992,3,211.56,21.7403225806452,97.7414882244609
"136",-46.5,-23.5,1992,4,82.76,19.6793333333333,72.8602795812637
"137",-46.5,-23.5,1992,5,114.16,18.7225806451613,64.2646176058638
"138",-46.5,-23.5,1992,6,12.37,17.5056666666667,51.9494037652491
"139",-46.5,-23.5,1992,7,71.27,15.2403225806452,40.1928972895254
"140",-46.5,-23.5,1992,8,46.63,15.8016129032258,44.6302671791174
"141",-46.5,-23.5,1992,9,152.08,17.361,55.2466442978737
"142",-46.5,-23.5,1992,10,214.69,19.5048387096774,76.6494798006035
"143",-46.5,-23.5,1992,11,239.14,19.6213333333333,79.2177536120758
"144",-46.5,-23.5,1992,12,173.48,20.2854838709677,90.6398592557599
"145",-46.5,-23.5,1993,1,224.73,22.5587096774194,108.671545146654
"146",-46.5,-23.5,1993,2,232.7,21.7746428571429,91.8012925972184
"147",-46.5,-23.5,1993,3,199.21,21.8538709677419,98.0013443955741
"148",-46.5,-23.5,1993,4,103.15,20.5656666666667,78.8312305128071
"149",-46.5,-23.5,1993,5,118.82,17.2470967741935,53.426835262172
"150",-46.5,-23.5,1993,6,81.5,15.402,39.1530176345878
"151",-46.5,-23.5,1993,7,24.25,16.0877419354839,43.9092015183654
"152",-46.5,-23.5,1993,8,41.2,15.6445161290323,42.7616444959832
"153",-46.5,-23.5,1993,9,210.81,17.459,54.8995167835085
"154",-46.5,-23.5,1993,10,117.75,20.3393548387097,82.5288083804482
"155",-46.5,-23.5,1993,11,80.31,22.2256666666667,101.265015756161
"156",-46.5,-23.5,1993,12,151.83,22.0325806451613,106.363550081634
"157",-46.5,-23.5,1994,1,232.28,21.7409677419355,99.367798272165
"158",-46.5,-23.5,1994,2,254.57,23.9178571428571,110.805753674071
"159",-46.5,-23.5,1994,3,245.05,20.9816129032258,88.6848069436163
"160",-46.5,-23.5,1994,4,121.96,19.681,70.5419580533018
"161",-46.5,-23.5,1994,5,64.27,18.9490322580645,63.4693465665579
"162",-46.5,-23.5,1994,6,71.79,15.5383333333333,38.4392343106643
"163",-46.5,-23.5,1994,7,48.85,16.3,43.6406104980714
"164",-46.5,-23.5,1994,8,18.87,16.3909677419355,45.5720046541268
"165",-46.5,-23.5,1994,9,45.91,19.1086666666667,64.7427173984777
"166",-46.5,-23.5,1994,10,122.49,21.5758064516129,92.0040094681174
"167",-46.5,-23.5,1994,11,120.23,21.6303333333333,94.4547647559239
"168",-46.5,-23.5,1994,12,246.28,22.7441935483871,112.489523460819
"169",-46.5,-23.5,1995,1,300.99,23.5051612903226,118.305638787215
"170",-46.5,-23.5,1995,2,417.03,22.6717857142857,99.7837388267768
"171",-46.5,-23.5,1995,3,263.12,21.4316129032258,94.08648216387
"172",-46.5,-23.5,1995,4,73.41,19.3643333333333,69.5539037796363
"173",-46.5,-23.5,1995,5,83.83,17.1196774193548,52.5731475977279
"174",-46.5,-23.5,1995,6,75.01,15.9753333333333,42.1954975693942
"175",-46.5,-23.5,1995,7,69.28,16.9441935483871,48.8519954718339
"176",-46.5,-23.5,1995,8,60.46,18.2896774193548,59.062305758698
"177",-46.5,-23.5,1995,9,104.76,18.2623333333333,60.2228668157468
"178",-46.5,-23.5,1995,10,228.74,18.6725806451613,69.092544219026
"179",-46.5,-23.5,1995,11,145.64,20.2726666666667,83.6613956740692
"180",-46.5,-23.5,1995,12,241.12,21.1822580645161,97.9996790226858
"181",-46.5,-23.5,1996,1,269.92,23.118064516129,115.388092502276
"182",-46.5,-23.5,1996,2,321.29,22.6131034482759,100.35930745482
"183",-46.5,-23.5,1996,3,358.41,21.7738709677419,98.5971902867458
"184",-46.5,-23.5,1996,4,119.56,19.9303333333333,75.3765984928283
"185",-46.5,-23.5,1996,5,70.71,16.6077419354839,51.0964746694139
"186",-46.5,-23.5,1996,6,65.9,15.131,39.30015334708
"187",-46.5,-23.5,1996,7,38.35,13.8961290322581,33.9735289304993
"188",-46.5,-23.5,1996,8,45.54,15.6654838709677,44.539443473799
"189",-46.5,-23.5,1996,9,182.85,16.9473333333333,53.3058580283175
"190",-46.5,-23.5,1996,10,152.02,19.5529032258065,77.7162106908811
"191",-46.5,-23.5,1996,11,123.17,19.7916666666667,81.3037232509127
"192",-46.5,-23.5,1996,12,244.95,22.0603225806452,108.003420564133
"193",-46.5,-23.5,1997,1,348.52,22.2896774193548,105.674854490385
"194",-46.5,-23.5,1997,2,127.31,22.4217857142857,97.2508338666508
