,Yobs,Yest,prec,et_obs,et_est,year,month
0,113.772923824284,114.79722984493567,211.06,113.772923824284,114.79722984493567,2015,1
1,113.266133883712,113.19435724385217,132.62,113.266133883712,113.19435724385217,2015,2
2,119.822281577908,119.3778078382393,215.9,119.822281577908,119.3778078382393,2015,3
3,118.194390206208,118.8201425048866,128.65,118.194390206208,118.8201425048866,2015,4
4,121.540763077376,120.17065437098961,123.99,121.540763077376,120.17065437098961,2015,5
5,119.636391003863,119.05743412146686,60.48,119.636391003863,119.05743412146686,2015,6
6,161.367855698618,138.70349547866627,54.76,161.367855698618,138.70349547866627,2015,7
7,230.695077328558,176.56485926064346,23.93,230.695077328558,176.56485926064346,2015,8
8,297.68615994297,211.8612008031238,16.64,297.68615994297,211.8612008031238,2015,9
9,312.761531708481,217.21624560112457,42.21,312.761531708481,217.21624560112457,2015,10
10,205.08513686435,166.2614430061519,110.08,205.08513686435,166.2614430061519,2015,11
11,218.377463312263,169.07882399937992,80.14,218.377463312263,169.07882399937992,2015,12
12,218.863311130472,164.86635472637983,96.43,218.863311130472,164.86635472637983,2016,1
13,157.230941122133,136.76778533069648,214.77,157.230941122133,136.76778533069648,2016,2
14,141.926967372336,130.776168358557,255.95,141.926967372336,130.776168358557,2016,3
15,130.222695411931,123.56071133744622,158.73,130.222695411931,123.56071133744622,2016,4
16,131.184124502119,124.36160044206966,167.54,131.184124502119,124.36160044206966,2016,5
17,119.267007815655,117.73910195434858,82.41,119.267007815655,117.73910195434858,2016,6
18,152.680675023181,135.7251228965031,76.17,152.680675023181,135.7251228965031,2016,7
19,195.650522322534,158.044233847208,54.75,195.650522322534,158.044233847208,2016,8
20,192.076842705584,159.44998892292875,71.13,192.076842705584,159.44998892292875,2016,9
21,221.61731795038,173.0916839881506,77.89,221.61731795038,173.0916839881506,2016,10
22,205.053752042258,168.00216942685603,66.83,205.053752042258,168.00216942685603,2016,11
23,134.084352261977,126.46747789394125,260.44,134.084352261977,126.46747789394125,2016,12
24,119.929692831344,114.78270337358691,190.57,119.929692831344,114.78270337358691,2017,1
25,112.097241225136,107.40173887482528,234.66,112.097241225136,107.40173887482528,2017,2
26,123.982950952252,118.84285738132424,268.24,123.982950952252,118.84285738132424,2017,3
27,120.158369756379,116.89277664777039,247.95,120.158369756379,116.89277664777039,2017,4
28,136.558766783185,125.38592777652649,84.14,136.558766783185,125.38592777652649,2017,5
29,125.011507947387,118.81933204753321,74.21,125.011507947387,118.81933204753321,2017,6
30,125.73233704875,119.20256759971129,48.35,125.73233704875,119.20256759971129,2017,7
31,191.206882365209,157.15614150542962,55.09,191.206882365209,157.15614150542962,2017,8
