"","lon","lat","year","month","prec","temp","etp"
"1",-61.25,-2.75,1981,1,274.22,25.1525806451613,114.149562364336
"2",-61.25,-2.75,1981,2,312.38,25.0310714285714,104.416602015399
"3",-61.25,-2.75,1981,3,149.4,26.1635483870968,134.32324921069
"4",-61.25,-2.75,1981,4,218.41,25.7313333333333,121.808682145822
"5",-61.25,-2.75,1981,5,176,25.56,122.211981989208
"6",-61.25,-2.75,1981,6,103.52,25.4136666666667,115.405543189826
"7",-61.25,-2.75,1981,7,68.74,24.9890322580645,112.317815002886
"8",-61.25,-2.75,1981,8,113.83,26.2470967741935,133.846095865626
"9",-61.25,-2.75,1981,9,119.11,26.3683333333333,132.394570894698
"10",-61.25,-2.75,1981,10,105.53,26.9783870967742,149.186027054739
"11",-61.25,-2.75,1981,11,226.6,26.545,137.244226931488
"12",-61.25,-2.75,1981,12,215.36,25.7167741935484,127.415518725961
"13",-61.25,-2.75,1982,1,249.08,25.3558064516129,117.891319415375
"14",-61.25,-2.75,1982,2,300.65,25.4089285714286,110.482215760224
"15",-61.25,-2.75,1982,3,242.61,25.6864516129032,126.349353750667
"16",-61.25,-2.75,1982,4,337,25.2306666666667,114.186578032174
"17",-61.25,-2.75,1982,5,236.63,25.4606451612903,121.014511342649
"18",-61.25,-2.75,1982,6,120.95,25.461,116.604744009104
"19",-61.25,-2.75,1982,7,116.65,25.2364516129032,116.765456404974
"20",-61.25,-2.75,1982,8,99.23,26.2335483870968,133.901701588385
"21",-61.25,-2.75,1982,9,133.89,26.3523333333333,132.375745048497
"22",-61.25,-2.75,1982,10,213.56,26.0109677419355,131.604507274061
"23",-61.25,-2.75,1982,11,113.56,25.8516666666667,125.454904746348
"24",-61.25,-2.75,1982,12,291.83,25.6296774193548,126.345108188297
"25",-61.25,-2.75,1983,1,139.14,26.8064516129032,142.154012906855
"26",-61.25,-2.75,1983,2,186.72,26.4942857142857,126.713443020388
"27",-61.25,-2.75,1983,3,449.69,26.1612903225806,133.264860565896
"28",-61.25,-2.75,1983,4,374.56,25.8933333333333,123.384197447783
"29",-61.25,-2.75,1983,5,154.72,26.2512903225806,133.254187206446
"30",-61.25,-2.75,1983,6,94.8,26.1296666666667,126.229766761909
"31",-61.25,-2.75,1983,7,95.57,26.6296774193548,139.688012602693
"32",-61.25,-2.75,1983,8,153.95,26.4106451612903,135.951388100221
"33",-61.25,-2.75,1983,9,146.03,27.0313333333333,144.055657917459
"34",-61.25,-2.75,1983,10,183.44,26.3296774193548,136.073181766942
"35",-61.25,-2.75,1983,11,165.86,26.109,128.479667925614
"36",-61.25,-2.75,1983,12,291.91,25.1703225806452,116.594490039508
"37",-61.25,-2.75,1984,1,312.66,24.7393548387097,109.110182113522
"38",-61.25,-2.75,1984,2,394.49,25.0448275862069,105.810085822028
"39",-61.25,-2.75,1984,3,299.62,25.4954838709677,123.781828503234
"40",-61.25,-2.75,1984,4,336.05,25.232,114.90164745241
"41",-61.25,-2.75,1984,5,223.34,25.2525806451613,118.340295687589
"42",-61.25,-2.75,1984,6,168.72,25.3663333333333,115.765562014784
"43",-61.25,-2.75,1984,7,110.9,25.0167741935484,114.057360197155
"44",-61.25,-2.75,1984,8,113.15,25.6903225806452,125.145734658836
"45",-61.25,-2.75,1984,9,254.44,25.695,121.878838655572
"46",-61.25,-2.75,1984,10,179.33,26.3174193548387,137.416013482132
"47",-61.25,-2.75,1984,11,163.06,25.6363333333333,122.470230162878
