,lon,lat,year,month,"('prec',)","('temp',)"
14083,-60.25,-1.25,1998,8,-1.1137139448967606,0.07056729108100042
13017,-60.25,-2.0,2011,10,-0.23501752208648746,0.5565442320767755
11578,-60.25,-2.75,1993,11,-0.33429958766308765,-0.4604875883917978
3292,-61.0,-2.5,1983,5,-0.39828136325689656,0.18054659881116666
13968,-60.25,-1.25,1989,1,0.4525358532601494,-1.5255426621312929
10074,-60.5,-2.0,2004,7,-0.9182586460999992,-0.3245435552089065
3492,-61.0,-2.5,2000,1,-0.06683972009461019,-0.7180877446934485
6503,-60.75,-2.5,2012,12,-0.39096056448205646,1.0907742026749272
3895,-61.0,-2.25,1999,8,-1.1583407319488686,0.5201977941944469
10191,-60.5,-2.0,2014,4,0.020608725544576975,-0.13509296993655953
8297,-60.75,-1.25,1992,6,-0.9071270205656531,-0.6197852523519718
3555,-61.0,-2.5,2005,4,0.7108697935887572,0.16601846803694253
15696,-60.0,-2.0,1997,1,0.9512527341817985,-1.0420723720239629
5198,-61.0,-1.5,2006,3,0.7116720729065478,-0.024372111318484605
5289,-61.0,-1.5,2013,10,-1.014732734064332,1.1127073979487627
1630,-61.25,-2.0,2014,11,-0.90782901496872,1.430686507525656
3932,-61.0,-2.25,2002,9,-0.7223019227296188,1.4841095045854744
10235,-60.5,-1.75,1983,12,0.5037814446840307,-1.2097046501882018
15315,-60.0,-2.25,1999,4,2.3221475184566707,-1.1579005318272022
1691,-61.25,-1.75,1985,12,0.4841256013981586,-1.11476524778862
197,-61.25,-2.75,1997,6,-1.402835354045587,-0.48056168425663287
8059,-60.75,-1.5,2006,8,-1.5428330950000655,0.9322285339812955
6824,-60.75,-2.25,2005,9,-1.2445857586113698,4.364742261198688
15998,-60.0,-1.75,1988,3,1.05815645327741,0.07683391830216678
14339,-60.0,-2.75,1985,12,1.552561082865934,-1.2661042951780053
14823,-60.0,-2.5,1992,4,0.4250577866258175,-0.24744315163198322
7505,-60.75,-1.75,1994,6,0.09261329431629281,-1.1498061383332259
5906,-60.75,-2.75,1997,3,2.1443423646513047,0.11443368162866796
14524,-60.0,-2.75,2001,5,0.1046474840831536,-0.8876000110240445
16149,-60.0,-1.75,2000,10,-0.182468226771196,0.09218715499384023
16391,-60.0,-1.5,1986,12,0.5431934161704993,-0.6645080819531823
9741,-60.5,-2.25,2010,10,-1.190431904660497,2.495752025643881
15745,-60.0,-2.0,2001,2,-0.13804200954853577,-1.127141836550305
5798,-60.75,-2.75,1988,3,0.39116148544916013,0.5662575042694707
3027,-61.0,-2.75,1995,4,1.5943798923057748,-0.24679560015253507
4400,-61.0,-2.0,2007,9,-0.9068261658214816,1.045393377215542
12831,-60.25,-2.0,1996,4,1.3657302867354228,-0.7541521843508682
3766,-61.0,-2.25,1988,11,1.5997952777008617,0.15015345678890862
1759,-61.25,-1.75,1991,8,-0.7744500783860149,-0.3972364309735603
1313,-61.25,-2.0,1988,6,1.1050897933681665,-0.5233000819044854
8472,-60.75,-1.25,2007,1,-0.5201275346463604,0.3901652793567126
6753,-60.75,-2.25,1999,10,-0.7125742860014065,0.44343161073607956
1804,-61.25,-1.75,1995,5,1.242580411454549,-0.713387774277647
4089,-61.0,-2.0,1981,10,-0.6805833982045021,0.9525950724498627
1573,-61.25,-2.0,2010,2,0.028130094148864863,0.950457704951234
7616,-60.75,-1.75,2003,9,-0.5838084554959978,-0.07940354269838464
15675,-60.0,-2.0,1995,4,1.2190134564944473,-0.49836934994330107
2103,-61.25,-1.5,1986,4,2.9176393420868236,-0.5103490523142598
11644,-60.25,-2.75,1999,5,2.1307036162488626,-1.1517383483931334
7683,-60.75,-1.75,2009,4,0.9621837898866966,-0.46210646709051306
10029,-60.5,-2.0,2000,10,-0.6173036170137599,0.5255244273323363
10020,-60.5,-2.0,2000,1,0.3440275755289562,-0.9543395909286279
4240,-61.0,-2.0,1994,5,0.9918681246449526,0.016047634257557484
9994,-60.5,-2.0,1997,11,0.10123779698254305,1.636284102271039
2954,-61.0,-2.75,1989,3,1.9598181215594423,-0.9700061589813935
3784,-61.0,-2.25,1990,5,2.3526341325327174,0.25261281185373596
16228,-60.0,-1.75,2007,5,-0.49826542323656353,0.8369758002206216
15803,-60.0,-2.0,2005,12,0.5903273260907036,-0.43044955524535583
2404,-61.25,-1.5,2011,5,-0.28475883978951144,-0.2860037977991249
3289,-61.0,-2.5,1983,2,-0.07736963614061335,0.4165746369313491
2130,-61.25,-1.5,1988,7,-0.28766710231650267,-1.001965957809013
389,-61.25,-2.75,2013,6,-1.174887742878302,0.046545220066812956
3100,-61.0,-2.75,2001,5,0.8896777965413611,-0.4429828096874918
4510,-61.0,-1.75,1982,11,-1.498306592862681,0.48396624447784575
7555,-60.75,-1.75,1998,8,-1.1691715027390432,0.31778573495314755
9602,-60.5,-2.25,1999,3,0.04106684814823995,-0.4075763658883435
525,-61.25,-2.5,1990,10,-1.153727625871572,1.5303781022345897
10398,-60.5,-1.75,1997,7,-1.1648592514059182,-0.4320162120506207
8427,-60.75,-1.25,2003,4,1.3994260180826328,-0.48315189017471527
2019,-61.25,-1.75,2013,4,-0.0673411446682295,0.02744245142124502
14863,-60.0,-2.5,1995,8,-1.1068945706955395,-0.1440646912414392
15644,-60.0,-2.0,1992,9,-0.6334494882842978,0.5934024445154646
11588,-60.25,-2.75,1994,9,-0.712173146342511,-0.04411198706496381
14018,-60.25,-1.25,1993,3,1.6379035452959205,-1.2604643306790235
14030,-60.25,-1.25,1994,3,0.27904295078790864,-1.0580522714377243
2418,-61.25,-1.5,2012,7,-0.5935360922242101,-0.6081084369632822
17008,-60.0,-1.25,2004,5,0.8534749423260559,-0.9286464193221746
3614,-61.0,-2.5,2010,3,0.25898596784314093,0.6640168889184932
6889,-60.75,-2.25,2011,2,1.3686385492624145,-0.6744339718551462
4389,-61.0,-2.0,2006,10,-1.0635714875348412,3.670117966876634
13453,-60.25,-1.75,2014,2,0.8852652602935123,-0.6831065363128408
9491,-60.5,-2.25,1989,12,-0.002456804841905995,-0.09894497524949906
14911,-60.0,-2.5,1999,8,-1.1774951506611218,-0.7751140524054332
10004,-60.5,-2.0,1998,9,-0.5247406407236568,1.178141430515623
1986,-61.25,-1.75,2010,7,-0.42606028463539997,-0.3972364309735603
8095,-60.75,-1.5,2009,8,-1.1733834691574443,0.23349959882943794
14431,-60.0,-2.75,1993,8,-0.9325993889055082,-0.6851879517827453
2366,-61.25,-1.5,2008,3,0.893087483641972,-0.8612801766954068
6224,-60.75,-2.5,1989,9,-0.7255110400007816,0.9013131730238537
1960,-61.25,-1.75,2008,5,1.3844835657887806,-0.9540262595676321
4828,-61.0,-1.75,2009,5,-0.2723235103637554,-0.18667775634483413
8688,-60.5,-2.75,1991,1,0.5652560974097439,0.10252708990861994
