,etp
14083,132.035180863405
13017,142.78718703353
11578,121.857273222278
3292,133.351498403421
13968,106.459225087313
10074,122.678018454231
3492,117.462899082947
6503,153.673593408947
3895,139.98795604941
10191,123.166808492759
8297,115.847543798646
3555,128.425288629931
15696,108.469430418036
5198,129.999666129122
5289,153.421640819326
1630,155.401043126815
3932,155.345247161201
10235,111.734882372875
15315,110.110902091068
1691,115.458077305995
197,115.187925421573
8059,148.584724315316
6824,236.071142184851
15998,133.938218010362
14339,114.330154586341
14823,122.333377262358
7505,108.99671296388
5906,130.738536535546
14524,115.843824664893
16149,134.513006288602
16391,122.50998446793
9741,185.795078844445
15745,102.64520977829
5798,142.512128037519
3027,122.510792685476
4400,146.020719029403
12831,116.149599247495
3766,130.279167901104
1759,123.023111123155
1313,116.269455461558
8472,134.6121662132
6753,140.607639314841
1804,118.054478319362
4089,150.088723875165
1573,135.343445763936
7616,125.557699594283
15675,119.004644556044
2103,120.085576328896
11644,112.929271142801
7683,117.840548300212
10029,142.272209266015
10020,113.284496967472
4240,130.491987703457
9994,160.182702035832
2954,116.600009406983
3784,134.205392869683
16228,143.328944164064
15803,116.429000711898
2404,126.059839896798
3289,126.601403315248
2130,114.122140478234
389,125.279497517549
3100,122.833502513795
4510,137.38304372152
7555,135.390882652643
9602,125.381137552444
525,162.498921170651
10398,121.72594790918
8427,118.863818842749
2019,127.24809485157
14863,128.206749330104
15644,137.909975032978
11588,127.251779169276
14018,112.812153081266
14030,116.100698355134
2418,119.34981887715
17008,114.149162713343
3614,143.995861237386
6889,108.474067988898
4389,218.521664520677
13453,107.645615474544
9491,132.080378467584
14911,118.769890299272
10004,148.30563176981
1986,122.007519726789
8095,134.299113475595
14431,119.922388973022
2366,117.839735279759
6224,143.637094742624
1960,115.428553490264
4828,125.451873000077
8688,129.203139055284
821,121.782147404139
5055,118.623760668655
6249,154.597839401545
13063,128.759433412672
8637,144.625076983662
84,120.611315298383
1413,149.295224342763
4657,130.615940386706
10026,108.928091832646
8129,117.161362961007
2989,119.14920383766
9382,165.88143200481
8382,113.289628365126
9042,113.836670328123
1882,154.218663646952
11330,133.229839575043
5321,115.780890345745
2243,155.442497544506
8126,116.326473184882
13275,113.820101244251
8203,119.732346056857
