,lon,lat,year,month,"('prec',)","('temp',)"
5794,-45.5,-23.25,1987,11,0.1840155587530516,-0.47777569556639654
17699,-40.25,-8.0,1993,12,-0.7707156763943666,1.6553684454335145
18803,-40.25,-7.25,1983,12,-0.6355551634439056,1.2405120897887547
20888,-40.0,-7.25,1987,9,-0.8119094036165693,1.2447053958164571
2133,-46.0,-23.5,1988,10,0.9246828730865858,-1.0240292435633451
26891,-39.25,-8.0,2011,12,-0.4590984513129779,1.44723791486457
15117,-40.5,-8.25,1982,10,-0.7757368023493117,1.2698548267568457
4541,-45.75,-23.0,1985,6,-0.6570742746793846,-2.2276745571304306
27017,-39.25,-7.75,1988,6,-0.7147659871821213,-0.23440266495808873
19855,-40.0,-8.25,2003,8,-0.8823076389440648,0.8202710297535784
23092,-39.75,-7.25,2001,5,-0.5643371524502966,0.8158227956919226
7252,-45.5,-22.5,2007,5,0.02098267315473204,-1.931390952946651
25044,-39.5,-7.5,1994,1,0.7547843662845658,0.2927260778802317
22255,-39.75,-7.75,1999,8,-0.89614135330973,0.06602221912402716
19904,-40.0,-8.25,2007,9,-0.9064910210944126,0.7260256963888114
2556,-46.0,-23.25,1990,1,1.510822474357728,-0.18206437880576654
10065,-45.0,-23.0,2003,10,1.2728825872682887,-0.9004151601658043
6247,-45.5,-23.0,1991,8,-0.7242958793006904,-1.6239945675281595
14461,-40.75,-7.25,1996,2,0.46581344397956226,0.42498636577874427
2644,-46.0,-23.25,1997,5,-0.12842144199445069,-1.6518545598090486
2150,-46.0,-23.5,1990,3,1.6206724136169348,-0.09216322724392226
12024,-44.75,-22.5,1997,1,2.6740841445727637,-0.5845905417883949
22541,-39.75,-7.5,1989,6,-0.7268576782572951,-0.3216556865346767
12131,-44.75,-22.5,2005,12,1.0201867381888068,-0.7709481372134792
16866,-40.25,-8.5,1992,7,-0.8881485405651235,0.4294507458805426
17265,-40.25,-8.25,1991,10,-0.9239112539993242,1.145928586583059
14024,-40.75,-7.5,1993,9,-0.8914276432295773,1.3347808349117285
3634,-46.0,-22.75,2011,11,1.1811701846218425,-0.9536352892110704
14366,-40.75,-7.25,1988,3,1.6721133366655565,0.40440016458595945
994,-46.25,-23.5,1995,11,0.567875514410691,-0.6361536386130061
4518,-45.75,-23.0,1983,7,-0.33705434902033277,-1.6710522015488234
22855,-39.75,-7.25,1981,8,-0.9127418105485279,0.7565130082032008
6001,-45.5,-23.25,2005,2,0.2862825731007088,-0.487066633234923
15588,-40.5,-8.0,1988,1,0.2961198810940707,0.9942984325165063
27505,-39.25,-7.5,1995,2,1.0463170875461743,0.1605917867593389
12972,-40.75,-8.25,2008,1,-0.09101917722802286,1.193688573350287
5306,-45.5,-23.5,1981,3,1.1294218456984286,-0.23060475751363235
23767,-39.5,-8.25,1989,8,-0.8950141617688239,0.56992129519592
7900,-45.25,-23.25,1993,5,-0.33910378818561643,-1.512008324046186
3631,-46.0,-22.75,2011,8,-0.6645547276326702,-1.441070696641921
27165,-39.25,-7.75,2000,10,-0.8721629150759105,0.917663943945555
9571,-45.0,-23.25,1996,8,-0.5333906210545125,-1.8425043109076418
17515,-40.25,-8.25,2012,8,-0.8362977296834455,0.3837978173530562
20655,-40.0,-7.5,2002,4,-0.2659388099849879,0.13364057947410618
14417,-40.75,-7.25,1992,6,-0.8806680876118379,0.6967531946953663
14591,-40.75,-7.25,2006,12,-0.09757738255693074,1.3855869515539099
20794,-40.0,-7.5,2013,11,-0.7193772253040096,0.9069829795846509
20987,-40.0,-7.25,1995,12,-0.7859839981757303,1.2900669780194545
27582,-39.25,-7.5,2001,7,-0.8444954863445803,0.040425363471002715
14545,-40.75,-7.25,2003,2,0.2445764860871853,0.605036145410703
7156,-45.5,-22.5,1999,5,-0.6692684377128229,-2.090746987225558
8845,-45.25,-22.75,2004,2,2.4183141367453564,-0.6435558804205627
1833,-46.25,-23.0,1997,10,0.27111672327760944,-0.6021493604528199
15583,-40.5,-8.0,1987,8,-0.9237063100827959,0.945836093002714
27988,-39.25,-7.25,2001,5,-0.5063380240727675,0.9527815812744058
16504,-40.5,-7.5,1996,5,-0.5532701809577646,0.23427472152622109
11261,-44.75,-23.0,2001,6,-0.6814626007462609,-1.480540319693073
18849,-40.25,-7.25,1987,10,-0.9066959650109411,1.485711237538168
19205,-40.0,-8.5,1983,6,-0.9174555206286805,0.8034405769004005
