"","station","month","prec","temp","etp","etr","def","exc","wb"
"1","-49.75_-18.5",1,247.178235294118,25.2056356736243,126.586451181374,126.586451181374,0,120.591784112743,120.591784112743
"2","-49.75_-18.5",2,182.515294117647,25.2118998116488,115.821528973484,115.821528973484,0,66.6937651441628,66.6937651441628
"3","-49.75_-18.5",3,189.531176470588,24.9376470588235,119.634853648718,119.634853648718,0,69.8963228218706,69.8963228218706
"4","-49.75_-18.5",4,75.5144117647059,24.2384901960784,100.957680321094,97.9787873644554,2.97889295663867,0,-2.97889295663867
"5","-49.75_-18.5",5,31.6005882352941,22.4262618595825,77.8007298194537,60.2871062846872,17.5136235347665,0,-17.5136235347665
"6","-49.75_-18.5",6,17.155,21.7976666666667,66.5050979881409,36.1824424866671,30.3226555014738,0,-30.3226555014738
"7","-49.75_-18.5",7,9.26852941176471,22.3006831119545,73.4933931025546,23.400775347709,50.0926177548457,0,-50.0926177548457
"8","-49.75_-18.5",8,14.7791176470588,24.7530834914611,105.209687043749,24.117100561329,81.0925864824203,0,-81.0925864824203
"9","-49.75_-18.5",9,57.165,27.2101764705882,143.913176729946,60.8487821556226,83.0643945743233,0,-83.0643945743233
"10","-49.75_-18.5",10,113.027647058824,27.7692314990512,166.052948493488,114.125503418659,51.9274450748285,0,-51.9274450748285
"11","-49.75_-18.5",11,182.910882352941,26.5981764705882,145.86634757026,145.86634757026,0,0,0
"12","-49.75_-18.5",12,229.024705882353,25.4886432637571,135.016654365204,135.016654365204,0,32.6223827983477,32.6223827983477
"13","-49.75_-18.25",1,245.465,24.8103130929791,121.199520323131,121.199520323131,0,124.265479676869,124.265479676869
"14","-49.75_-18.25",2,184.302941176471,24.895206824109,112.018569077186,112.018569077186,0,72.2843720992842,72.2843720992842
"15","-49.75_-18.25",3,200.099705882353,24.7168595825427,117.254175223063,117.254175223063,0,82.8455306592904,82.8455306592904
"16","-49.75_-18.25",4,80.1591176470588,23.9476862745098,98.3365585304264,96.7801761743065,1.5563823561199,0,-1.5563823561199
"17","-49.75_-18.25",5,30.7005882352941,22.0539373814042,75.3559865947466,60.7312467068391,14.6247398879075,0,-14.6247398879075
"18","-49.75_-18.25",6,15.4379411764706,21.2712549019608,63.1133367533469,35.6678633030788,27.4454734502681,0,-27.4454734502681
