"","lon","lat","year","month","prec","temp","etp"
"1",-49.75,-18.5,1981,1,238.39,24.8745161290323,122.962946038522
"2",-49.75,-18.5,1981,2,76.47,25.0446428571429,114.768244718983
"3",-49.75,-18.5,1981,3,240.87,25.5203225806452,130.011548703261
"4",-49.75,-18.5,1981,4,59.35,22.9423333333333,86.9905173630762
"5",-49.75,-18.5,1981,5,0.35,22.3029032258065,78.978930028609
"6",-49.75,-18.5,1981,6,34.55,20.416,56.5524154351912
"7",-49.75,-18.5,1981,7,0.98,19.3461290322581,49.3153698243646
"8",-49.75,-18.5,1981,8,0.12,24.0983870967742,98.3821807029153
"9",-49.75,-18.5,1981,9,6.54,28.0966666666667,158.253377204852
"10",-49.75,-18.5,1981,10,185.09,26.6129032258065,145.053972564483
"11",-49.75,-18.5,1981,11,253.09,25.4906666666667,128.395415951547
"12",-49.75,-18.5,1981,12,305.03,25.1677419354839,131.113592078771
"13",-49.75,-18.5,1982,1,417.51,23.8777419354839,110.136629978613
"14",-49.75,-18.5,1982,2,143.2,24.2160714285714,104.897359065176
"15",-49.75,-18.5,1982,3,290.41,24.6761290322581,118.5446142478
"16",-49.75,-18.5,1982,4,96.96,22.128,79.8265785595666
"17",-49.75,-18.5,1982,5,73.4,20.6125806451613,64.2452648476225
"18",-49.75,-18.5,1982,6,48.84,21.53,68.3004234426047
"19",-49.75,-18.5,1982,7,12.35,21.3335483870968,68.2942904418826
"20",-49.75,-18.5,1982,8,32.93,24.1825806451613,100.675186024066
"21",-49.75,-18.5,1982,9,64.92,25.9753333333333,125.084557331388
"22",-49.75,-18.5,1982,10,173.19,25.7835483870968,132.310251918914
"23",-49.75,-18.5,1982,11,198.11,26.1453333333333,139.014095997504
"24",-49.75,-18.5,1982,12,285.08,23.8077419354839,112.365949654004
"25",-49.75,-18.5,1983,1,440.77,24.59,119.481224098102
"26",-49.75,-18.5,1983,2,221.69,24.8928571428571,113.265588535528
"27",-49.75,-18.5,1983,3,208.77,24.1851612903226,111.260945421999
"28",-49.75,-18.5,1983,4,114.63,23.8626666666667,98.8687685668519
"29",-49.75,-18.5,1983,5,54.63,22.7464516129032,84.8747592372326
"30",-49.75,-18.5,1983,6,9.62,21.6443333333333,68.6222455688348
"31",-49.75,-18.5,1983,7,42.61,22.2103225806452,76.0688089650338
"32",-49.75,-18.5,1983,8,0.01,23.0596774193548,87.021011062801
"33",-49.75,-18.5,1983,9,103.52,26.3583333333333,130.464996338334
"34",-49.75,-18.5,1983,10,134.28,25.0870967741935,121.807682811369
"35",-49.75,-18.5,1983,11,198.48,24.7216666666667,117.669047605049
"36",-49.75,-18.5,1983,12,271.37,23.5812903225806,108.603162584174
"37",-49.75,-18.5,1984,1,207.42,25.1348387096774,125.070717653334
"38",-49.75,-18.5,1984,2,123.24,25.6044827586207,121.4489920322
"39",-49.75,-18.5,1984,3,135.61,25.4970967741935,128.17033240723
"40",-49.75,-18.5,1984,4,149.05,23.682,93.1794857715142
"41",-49.75,-18.5,1984,5,38.57,23.8638709677419,94.5086886884542
"42",-49.75,-18.5,1984,6,0.09,22.896,77.3524492791046
"43",-49.75,-18.5,1984,7,0.01,23.6967741935484,88.8459398466521
"44",-49.75,-18.5,1984,8,75.15,24.2925806451613,98.6077476874629
"45",-49.75,-18.5,1984,9,77.02,24.2166666666667,98.4927969484743
"46",-49.75,-18.5,1984,10,87.51,27.9841935483871,170.478708480455
"47",-49.75,-18.5,1984,11,141.72,27.933,170.977759045352
"48",-49.75,-18.5,1984,12,210.38,25.01,126.626903228838
"49",-49.75,-18.5,1985,1,296.6,24.3725806451613,115.011530191166
"50",-49.75,-18.5,1985,2,173.28,25.1892857142857,116.421846588759
"51",-49.75,-18.5,1985,3,257.24,24.4993548387097,114.313529037563
"52",-49.75,-18.5,1985,4,106.37,23.9433333333333,98.4615484064572
"53",-49.75,-18.5,1985,5,13.02,21.9551612903226,74.5157560918273
"54",-49.75,-18.5,1985,6,10.23,17.9913333333333,37.7195506533698
"55",-49.75,-18.5,1985,7,8.2,19.8170967741935,52.2200154390804
"56",-49.75,-18.5,1985,8,7.88,24.8135483870968,107.09511124305
"57",-49.75,-18.5,1985,9,14.05,28.363,163.354953643597
"58",-49.75,-18.5,1985,10,70.89,28.2477419354839,174.349433024651
"59",-49.75,-18.5,1985,11,207.09,26.4123333333333,142.925387554778
"60",-49.75,-18.5,1985,12,153.47,26.2616129032258,149.054948574899
"61",-49.75,-18.5,1986,1,191.09,25.2574193548387,127.61787856535
"62",-49.75,-18.5,1986,2,159.43,24.6196428571429,107.528128746953
"63",-49.75,-18.5,1986,3,192.28,24.8738709677419,118.876931921325
"64",-49.75,-18.5,1986,4,62.52,25.128,113.544484136628
"65",-49.75,-18.5,1986,5,68.3,23.7251612903226,93.5152705992223
"66",-49.75,-18.5,1986,6,0.41,21.345,62.5070691173001
"67",-49.75,-18.5,1986,7,25.27,21.6045161290323,66.7145372199022
"68",-49.75,-18.5,1986,8,76.88,24.9277419354839,107.811364571805
"69",-49.75,-18.5,1986,9,47.03,25.667,119.42274568159
"70",-49.75,-18.5,1986,10,81.95,26.8390322580645,148.840834952426
"71",-49.75,-18.5,1986,11,108.5,27.5646666666667,163.513412622493
"72",-49.75,-18.5,1986,12,276.05,25.43,134.202766119711
"73",-49.75,-18.5,1987,1,278.81,24.9841935483871,123.589970784623
"74",-49.75,-18.5,1987,2,212.41,24.0882142857143,100.690613969242
"75",-49.75,-18.5,1987,3,238.25,23.778064516129,103.411077361975
"76",-49.75,-18.5,1987,4,104.17,23.925,97.4968632770497
"77",-49.75,-18.5,1987,5,16.25,22.3477419354839,77.7785163721518
"78",-49.75,-18.5,1987,6,20.65,21.362,63.1826467280792
"79",-49.75,-18.5,1987,7,3.65,23.0332258064516,82.2939839433793
"80",-49.75,-18.5,1987,8,5.91,24.0845161290323,96.9806590017748
"81",-49.75,-18.5,1987,9,41.16,28.3893333333333,164.424446429248
"82",-49.75,-18.5,1987,10,143.54,27.9474193548387,169.129577811558
"83",-49.75,-18.5,1987,11,188.91,26.3183333333333,141.179421450153
"84",-49.75,-18.5,1987,12,240.9,25.0858064516129,128.812548876363
"85",-49.75,-18.5,1988,1,238.31,26.3287096774194,145.751564962926
"86",-49.75,-18.5,1988,2,298.35,25.5141379310345,120.586738946416
"87",-49.75,-18.5,1988,3,210.41,24.9061290322581,119.496185047462
"88",-49.75,-18.5,1988,4,158.64,24.841,109.57759656055
"89",-49.75,-18.5,1988,5,25.62,22.7638709677419,82.1395422532729
"90",-49.75,-18.5,1988,6,2.17,20.2476666666667,53.0236464146623
"91",-49.75,-18.5,1988,7,0,19.7387096774194,50.2205395814877
"92",-49.75,-18.5,1988,8,0,23.5874193548387,90.5422835046762
"93",-49.75,-18.5,1988,9,16,28.6296666666667,169.088601359797
"94",-49.75,-18.5,1988,10,141.74,28.0116129032258,170.510374011395
"95",-49.75,-18.5,1988,11,110.44,25.5616666666667,128.619625452525
"96",-49.75,-18.5,1988,12,298.69,25.8025806451613,140.659908804147
"97",-49.75,-18.5,1989,1,245.69,24.5325806451613,117.990355808659
"98",-49.75,-18.5,1989,2,263.05,24.5271428571429,107.797845335137
"99",-49.75,-18.5,1989,3,173.51,24.2883870967742,111.964657391907
"100",-49.75,-18.5,1989,4,78.81,24.203,102.430578280481
"101",-49.75,-18.5,1989,5,16.32,20.7177419354839,63.2760078995784
"102",-49.75,-18.5,1989,6,19.91,21.6543333333333,67.7577993435686
"103",-49.75,-18.5,1989,7,18.83,20.8741935483871,62.2642689685443
"104",-49.75,-18.5,1989,8,27.98,24.021935483871,97.5303705034065
"105",-49.75,-18.5,1989,9,37.41,26.509,132.631336479508
"106",-49.75,-18.5,1989,10,63.58,27.8525806451613,166.507286916089
"107",-49.75,-18.5,1989,11,185.81,26.0033333333333,136.434877724069
"108",-49.75,-18.5,1989,12,412.96,24.5151612903226,121.150371351432
"109",-49.75,-18.5,1990,1,233.7,24.5706451612903,117.031610689885
"110",-49.75,-18.5,1990,2,149.94,24.7907142857143,110.067130054237
"111",-49.75,-18.5,1990,3,96.16,25.2187096774194,124.338581716493
"112",-49.75,-18.5,1990,4,91.48,25.3683333333333,117.151149453168
"113",-49.75,-18.5,1990,5,45.6,22.2961290322581,76.9164006041368
"114",-49.75,-18.5,1990,6,6.2,22.11,70.1482239507215
"115",-49.75,-18.5,1990,7,12.14,21.8654838709677,69.537712748914
"116",-49.75,-18.5,1990,8,38.36,24.6422580645161,104.058910678395
"117",-49.75,-18.5,1990,9,53.88,24.995,109.85105067378
"118",-49.75,-18.5,1990,10,157.5,27.1712903225806,154.779401365563
"119",-49.75,-18.5,1990,11,149.57,26.7153333333333,147.988938600356
"120",-49.75,-18.5,1990,12,161.64,26.6141935483871,155.208436593559
"121",-49.75,-18.5,1991,1,383.7,25.3474193548387,129.646960875239
"122",-49.75,-18.5,1991,2,176.87,25.2417857142857,116.99479541158
"123",-49.75,-18.5,1991,3,398.98,24.0667741935484,107.895048920956
"124",-49.75,-18.5,1991,4,58.88,23.4736666666667,92.3033229368381
"125",-49.75,-18.5,1991,5,17.97,21.3306451612903,67.764943412987
"126",-49.75,-18.5,1991,6,7.86,21.4363333333333,64.4546171250728
"127",-49.75,-18.5,1991,7,2.38,21.8838709677419,70.5922050322565
"128",-49.75,-18.5,1991,8,2.59,24.0041935483871,96.3933396043974
"129",-49.75,-18.5,1991,9,47.58,27.0856666666667,141.708489925508
"130",-49.75,-18.5,1991,10,91.27,26.7061290322581,146.573078484649
"131",-49.75,-18.5,1991,11,133.66,27.8013333333333,167.609206961222
"132",-49.75,-18.5,1991,12,191.55,25.2,131.003240343147
"133",-49.75,-18.5,1992,1,246.13,25.3509677419355,130.076447771054
"134",-49.75,-18.5,1992,2,190.59,24.0562068965517,101.273892128188
"135",-49.75,-18.5,1992,3,175.94,23.9096774193548,106.342188327134
"136",-49.75,-18.5,1992,4,113.15,24.014,99.6505711966244
"137",-49.75,-18.5,1992,5,34.96,23.5087096774194,92.3663842525104
"138",-49.75,-18.5,1992,6,1.75,22.201,72.5969822315064
"139",-49.75,-18.5,1992,7,0.24,22.678064516129,79.570433612377
"140",-49.75,-18.5,1992,8,7.33,24.9483870967742,109.108893311042
"141",-49.75,-18.5,1992,9,89.17,24.8733333333333,109.08656830731
