,lon,lat,year,month,"('prec',)","('temp',)"
2917,-49.75,-16.75,1986,2,0.646148813781266,-0.17229659721466462
8447,-49.5,-16.25,2004,12,1.2067650149664468,0.042769708599994974
6247,-49.5,-17.5,1991,8,-1.0888021987272116,-0.4547768379379315
12051,-49.25,-16.75,1999,4,-0.6772358360048006,-0.52409528737585
17809,-49.0,-16.0,2003,2,0.6474196406621912,-0.5128991777065646
5358,-49.5,-18.0,1985,7,-1.0840819845980618,-2.435555940196604
17916,-49.0,-16.0,2012,1,2.097977751889391,-0.9217503618230769
13256,-49.25,-16.0,1997,9,-0.5443436535995053,1.4839790567416145
5258,-49.5,-18.25,2011,3,1.8016935419366014,0.16182811412313658
15419,-49.0,-17.5,2007,12,0.1161232310869219,0.8608920359354054
11519,-49.25,-17.0,1988,12,1.0334786924174653,0.22561990177379218
2070,-49.75,-17.25,1983,7,-0.9038061142039929,-0.7505120378299559
17282,-49.0,-16.25,1993,3,0.038602791350499516,-0.39348380694642826
6112,-49.5,-17.75,2014,5,-1.0584839002822877,-0.5829483559825953
6559,-49.5,-17.25,1983,8,-1.0974256668477738,-0.7497771094007578
623,-49.75,-18.25,1998,12,1.2964490834202935,0.8971975003356473
5219,-49.5,-18.25,2007,12,0.3420580958456515,1.0409495010783982
12914,-49.25,-16.25,2003,3,1.426708838715102,0.017635156322930234
5049,-49.5,-18.25,1993,10,-0.5158408221273314,1.0694647241295714
2460,-49.75,-17.0,1982,1,3.108648215619281,-0.06599969891492401
15326,-49.0,-17.5,2000,3,1.837458241299775,-0.1003943493994066
3906,-49.75,-16.25,2000,7,-1.032431949223326,-1.0990150989352636
1089,-49.75,-18.0,2003,10,-0.30987609406885097,1.838052875339913
2681,-49.75,-17.0,2000,6,-1.1005119607014486,-1.0203042641727469
1548,-49.75,-17.75,2008,1,1.193421332716735,0.6155729262834532
2731,-49.75,-17.0,2004,8,-1.0971533468018613,0.2658939796914919
12378,-49.25,-16.5,1992,7,-1.0996950005637112,-1.5183652606110993
7483,-49.5,-16.75,1992,8,-1.0563053399149878,-0.38980916480062244
17996,-48.75,-16.75,1984,9,-0.46691398721172056,-0.5581175741228827
15625,-49.0,-17.25,1991,2,0.6301727044210667,-0.09434693832518071
639,-49.75,-18.25,2000,4,-0.6582642061395639,0.027248020176255414
14432,-49.0,-18.0,1993,9,0.037695057864124595,0.8419602796003601
9947,-49.25,-18.0,1993,12,2.1557096016228394,0.43889613191456883
159,-49.75,-18.5,1994,4,-0.6295798279701148,0.40118940397607394
18128,-48.75,-16.75,1995,9,-0.8406278635522952,0.5877044402498847
12548,-49.25,-16.5,2006,9,0.8692697047322334,0.1315931585476868
8005,-49.5,-16.5,2002,2,0.9634016672693178,-0.16692637019305945
1165,-49.75,-18.0,2010,2,0.27806288505621635,1.1591942358406497
9770,-49.25,-18.25,2013,3,0.9997110067243165,0.46461862693498296
5593,-49.5,-18.0,2005,2,-0.6158730523258529,0.6255889508750899
9688,-49.25,-18.25,2006,5,-0.9962133831169648,-1.3202285561109106
3209,-49.75,-16.75,2010,6,-0.6738772221052134,-1.1123467006401226
1198,-49.75,-18.0,2012,11,0.5181583922023955,1.434008823081919
3978,-49.75,-16.25,2006,7,-1.0991503604718862,-0.5032821142621974
18256,-48.75,-16.75,2006,5,-0.9380276666403293,-2.154960265945213
1626,-49.75,-17.75,2014,7,-0.6985675729346126,0.050706935634865356
17725,-49.0,-16.0,1996,2,0.41258898773698666,-0.2358695354882664
11693,-49.25,-17.0,2003,6,-1.094157826296824,-1.4909965259093807
14225,-49.0,-18.25,2010,6,-0.9736108193062281,-1.0702744978324439
1365,-49.75,-17.75,1992,10,0.6594017226823407,1.1050352601007076
13992,-49.0,-18.25,1991,1,1.9940422676994574,0.44565747346278733
1383,-49.75,-17.75,1994,4,-0.5364463722680431,0.2736058286747611
6082,-49.5,-17.75,2011,11,-0.08031029536462134,0.696302364464679
13906,-49.0,-18.25,1983,11,0.9653986809393427,0.12931488041730665
5556,-49.5,-18.0,2002,1,0.8273324176617098,0.46564752673583304
14676,-49.0,-18.0,2014,1,-0.3422821795324373,0.736395160036549
244,-49.75,-18.5,2001,5,-0.08112725550235884,-0.11274114700918861
11038,-49.25,-17.25,1982,11,0.39733906516588713,0.6401048372486395
9346,-49.25,-18.5,2011,11,-0.010596363611023805,1.161830529105798
3687,-49.75,-16.25,1982,4,-0.40782053724871004,-0.7059018821802228
5120,-49.5,-18.25,1999,9,-0.5506070146554927,1.3920885054829149
5865,-49.5,-17.75,1993,10,-0.46446310679850816,0.977157713427741
