Epoch;RF;RF_sd;MLP;MLP_sd;SW;SW_sd
1;0.997835021;5.65E-05;NA;NA;0.943686;0.006059
2;0.997787265;7.78E-05;-7.35E-09;6.09E-09;9.49E-01;5.74E-03
3;0.997876092;5.01E-05;-1.24E-07;1.45E-07;0.949672;0.00414
4;0.999822321;1.01E-05;0.947554816;0.000604809;0.950409;0.004087
5;0.474134469;0.005833281;9.69E-07;2.91E-06;0.951182;0.003988
6;0.999648956;1.18E-05;-1.80E-05;1.99E-05;9.51E-01;3.89E-03
7;0.999811944;1.25E-05;0.247744452;0.366105305;NA;NA
8;0.470488053;0.00692262;NA;NA;NA;NA
9;0.999821076;8.39E-06;0.946784474;0.002374527;NA;NA
10;0.477124858;0.007082378;NA;NA;NA;NA
11;0.999815918;1.21E-05;-0.060529381;0.071537416;NA;NA
12;0.999641775;1.40E-05;-0.000888217;0.00066426;NA;NA
13;0.999646629;2.01E-05;0.945803014;0.005301218;NA;NA
14;0.997838051;6.80E-05;0.821731789;0.277703717;NA;NA
15;0.318631605;0.013977224;-8.53E-05;0.000117854;NA;NA
16;0.999818377;9.09E-06;-4.65E-11;1.33E-10;NA;NA
17;0.997773796;7.90E-05;-9.30E-05;0.0001148;NA;NA
18;0.99966089;1.43E-05;0.938157185;0.022231965;NA;NA
19;0.479565636;0.011450238;0.18364851;0.367436067;NA;NA
20;0.99974978;1.48E-05;-4.25E-11;7.75E-11;NA;NA
