Epoch;RF;RF_sd;MLP;MLP_sd;SW;SW_sd
1;0.999548597;8.07E-06;NA;NA;0.865173;0.003194
2;0.99954387;8.82E-06;-1.51E-08;2.25E-08;9.02E-01;1.49E-03
3;0.999553675;1.20E-05;-3.91E-08;4.48E-08;0.916696;0.001162
4;0.999942529;1.18E-06;0.915638189;0.003939216;0.917524;0.001096
5;0.628573205;0.003841704;-4.54E-13;1.62E-12;0.918235;0.00104
6;0.999904763;2.42E-06;-0.000226874;0.000220337;9.18E-01;1.09E-03
7;0.999939822;7.90E-07;-8.62E-11;2.20E-10;NA;NA
8;0.627192953;0.006868407;NA;NA;NA;NA
9;0.999942186;1.06E-06;0.916373178;0.002084499;NA;NA
10;0.623684547;0.006981983;NA;NA;NA;NA
11;0.999941093;9.64E-07;-0.071227172;0.038091654;NA;NA
12;0.999903575;2.79E-06;-0.000356675;0.000472401;NA;NA
13;0.999904655;2.03E-06;0.916587352;0.00138344;NA;NA
14;0.999556708;7.81E-06;0.906826147;0.01330784;NA;NA
15;0.476498684;0.013590055;-0.00028234;0.000240816;NA;NA
16;0.999941277;9.56E-07;-3.96E-10;1.19E-09;NA;NA
17;0.999539488;8.35E-06;-0.000315775;0.000379947;NA;NA
18;0.999906182;1.74E-06;0.772731106;0.115437782;NA;NA
19;0.629222046;0.007519013;0.149789294;0.312499457;NA;NA
20;0.999922359;1.96E-06;4.50E-13;8.87E-12;NA;NA
