Epoch;RF;RF_sd;MLP;MLP_sd;SW;SW_sd
1;0.998989343;2.89E-05;NA;NA;0.938662;0.002055
2;0.998961328;2.37E-05;-4.93E-08;9.15E-08;9.50E-01;1.76E-03
3;0.998998662;1.64E-05;-3.29E-07;3.81E-07;0.955174;0.001989
4;0.999847708;4.57E-06;0.955217306;0.000245759;0.958982;0.002066
5;0.557649798;0.005814415;-1.04E-12;1.75E-12;0.959458;0.002025
6;0.999731365;6.10E-06;-3.89E-05;5.00E-05;9.60E-01;2.01E-03
7;0.999841778;6.48E-06;3.94E-07;1.18E-06;NA;NA
8;0.555255997;0.008443214;NA;NA;NA;NA
9;0.99984781;4.39E-06;0.954947592;0.000623331;NA;NA
10;0.561428986;0.006907611;NA;NA;NA;NA
11;0.999846229;4.67E-06;-0.103195289;0.137065887;NA;NA
12;0.999734841;8.78E-06;-0.000518644;0.000705561;NA;NA
13;0.999732803;9.40E-06;0.954950264;0.000690039;NA;NA
14;0.998976735;2.20E-05;0.940737205;0.020418541;NA;NA
15;0.380511631;0.014036354;-0.000381248;0.000312863;NA;NA
16;0.999846401;4.99E-06;-7.72E-14;1.69E-14;NA;NA
17;0.998949865;1.46E-05;-0.00020354;0.00022357;NA;NA
18;0.999741101;6.66E-06;0.91908232;0.063048405;NA;NA
19;0.560982546;0.009835927;0.186877255;0.373851745;NA;NA
20;0.999797994;1.10E-05;0.057970458;0.173911375;NA;NA
