Epoch;RF;RF_sd;MLP;MLP_sd;SW;SW_sd
1;0.999035023;3.08E-05;-0.370434375;1.067361027;0.937922;0.001987
2;0.999008997;2.97E-05;-6.57E-08;6.44E-08;9.49E-01;2.14E-03
3;0.999054462;1.84E-05;NA;433.7283336;0.954812;0.005579
4;0.999824632;2.50E-06;0.953549974;0.002451869;0.956502;0.004629
5;0.628874184;0.008402418;-1.23E-12;2.22E-12;0.957918;0.005224
6;0.999738735;1.05E-05;-3.38E-05;2.46E-05;9.59E-01;5.15E-03
7;0.999817838;4.94E-06;0.192991295;0.385993023;NA;NA
8;0.623237;0.008614093;NA;NA;NA;NA
9;0.999824491;3.44E-06;0.954181306;0.000812773;NA;NA
10;0.629518903;0.005921632;NA;NA;NA;NA
11;0.999819638;4.34E-06;-0.070079623;0.096712486;NA;NA
12;0.999740014;6.65E-06;-0.000663531;0.00099965;NA;NA
13;0.999742319;7.21E-06;0.953156638;0.002528901;NA;NA
14;0.999041996;1.63E-05;0.942740945;0.003512069;NA;NA
15;0.438267643;0.015567813;-0.000425586;0.000414296;NA;NA
16;0.999822187;3.48E-06;-1.47E-12;1.01E-12;NA;NA
17;0.999003958;2.91E-05;-0.000102514;0.000109414;NA;NA
18;0.99974425;6.29E-06;0.950776564;0.003004116;NA;NA
19;0.622221355;0.011512402;0.282099038;0.430930219;NA;NA
20;0.999775049;7.46E-06;0.153104596;0.306367825;NA;NA
